year,jun_2009,jun_2009_frcst,jun_2010,jun_2010_frcst,jun_2011,jun_2011_frcst,jun_2012,jun_2012_frcst,sep_2013,sep_2013_frcst,jul_2014,jul_2014_frcst,jun_2015,jun_2015_frcst,jul_2016,jul_2016_frcst,jan_2017,jan_2017_frcst,mar_2017,mar_2017_frcst,jun_2018,jun_2018_frcst,jan_2019,jan_2019_frcst,jun_2019,jun_2019_frcst,jan_2020,jan_2020_frcst,sep_2020,sep_2020_frcst,mar_2021,mar_2021_frcst
1888,,,,,,,,,10,0,10,0,10,0,10,0,,,10,0,10,0,,,10,0,,,,,,
1889,,,,,,,,,9,0,9,0,9,0,9,0,,,9,0,9,0,,,9,0,,,,,,
1890,,,,,,,,,8,0,8,0,8,0,8,0,,,8,0,8,0,,,8,0,,,,,,
1891,,,,,,,,,7,0,7,0,7,0,7,0,,,7,0,7,0,,,7,0,,,,,,
1892,,,,,,,,,7,0,7,0,7,0,7,0,,,7,0,7,0,,,7,0,,,,,,
1893,,,,,,,,,7,0,7,0,7,0,7,0,,,7,0,7,0,,,7,0,,,,,,
1894,,,,,,,,,8,0,8,0,8,0,8,0,,,8,0,8,0,,,8,0,,,,,,
1895,,,,,,,,,8,0,8,0,8,0,8,0,,,8,0,8,0,,,8,0,,,,,,
1896,,,,,,,,,9,0,9,0,9,0,9,0,,,9,0,9,0,,,9,0,,,,,,
1897,,,,,,,,,8,0,8,0,8,0,8,0,,,8,0,8,0,,,8,0,,,,,,
1898,,,,,,,,,8,0,8,0,8,0,8,0,,,8,0,8,0,,,8,0,,,,,,
1899,,,,,,,,,8,0,8,0,8,0,8,0,,,8,0,8,0,,,8,0,,,,,,
1900,,,,,,,,,7,0,7,0,7,0,7,0,,,7,0,7,0,,,7,0,,,6.6,0,6.6,0
1901,,,,,,,,,6,0,6,0,6,0,6,0,,,6,0,6,0,,,6,0,,,5.7,0,5.7,0
1902,,,,,,,,,5,0,5,0,5,0,5,0,,,5,0,5,0,,,5,0,,,5.4,0,5.4,0
1903,,,,,,,,,5,0,5,0,5,0,5,0,,,5,0,5,0,,,5,0,,,5,0,5,0
1904,,,,,,,,,5,0,5,0,5,0,5,0,,,5,0,5,0,,,5,0,,,4.7,0,4.7,0
1905,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,4.3,0,4.3,0
1906,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,4,0,4,0
1907,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,4,0,4,0
1908,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,4.3,0,4.3,0
1909,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,3.8,0,3.8,0
1910,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,3.7,0,3.7,0
1911,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,3.6,0,3.6,0
1912,,,,,,,,,3,0,3,0,3,0,3,0,,,3,0,3,0,,,3,0,,,3.4,0,3.4,0
1913,,,,,,,,,3,0,3,0,3,0,3,0,,,3,0,3,0,,,3,0,,,3.2,0,3.2,0
1914,,,,,,,,,4,0,4,0,4,0,4,0,,,4,0,4,0,,,4,0,,,3.5,0,3.5,0
1915,,,,,,,,,3,0,3,0,3,0,3,0,,,3,0,3,0,,,3,0,,,3.3,0,3.3,0
1916,,,,,,,,,3,0,3,0,3,0,3,0,,,3,0,3,0,,,3,0,,,2.7,0,2.7,0
1917,,,,,,,,,13,0,13,0,13,0,13,0,,,13,0,13,0,,,13,0,,,13.3,0,13.3,0
1918,,,,,,,,,30,0,30,0,30,0,30,0,,,30,0,30,0,,,30,0,,,30.2,0,30.2,0
1919,,,,,,,,,33,0,33,0,33,0,33,0,,,33,0,33,0,,,33,0,,,33.4,0,33.4,0
1920,,,,,,,,,27,0,27,0,27,0,27,0,,,27,0,27,0,,,27,0,,,27.3,0,27.3,0
1921,,,,,,,,,32,0,32,0,32,0,32,0,,,32,0,32,0,,,32,0,,,31.6,0,31.6,0
1922,,,,,,,,,31,0,31,0,31,0,31,0,,,31,0,31,0,,,31,0,,,31.1,0,31.1,0
1923,,,,,,,,,25,0,25,0,25,0,25,0,,,25,0,25,0,,,25,0,,,25.2,0,25.2,0
1924,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,23.5,0,23.5,0
1925,,,,,,,,,22,0,22,0,22,0,22,0,,,22,0,22,0,,,22,0,,,21.6,0,21.6,0
1926,,,,,,,,,19,0,19,0,19,0,19,0,,,19,0,19,0,,,19,0,,,19,0,19,0
1927,,,,,,,,,18,0,18,0,18,0,18,0,,,18,0,18,0,,,18,0,,,18,0,18,0
1928,,,,,,,,,17,0,17,0,17,0,17,0,,,17,0,17,0,,,17,0,,,17,0,17,0
1929,,,,,,,,,15,0,15,0,15,0,15,0,,,15,0,15,0,,,15,0,,,14.758,0,14.758,0
1930,,,,,,,,,16,0,16,0,16,0,16,0,,,16,0,16,0,,,16,0,,,16.321,0,16.321,0
1931,,,,,,,,,22,0,22,0,22,0,22,0,,,22,0,22,0,,,22,0,,,22.041,0,22.041,0
1932,,,,,,,,,34,0,34,0,34,0,34,0,,,34,0,34,0,,,34,0,,,34.036,0,34.036,0
